作成日,名前,カテゴリー,備考,ファイル,図,URL,x (1),メモ
2025/01/01,x,X,,,,,,
2025/02/26,君には1時間でGitについて知ってもらう(with VSCode) #初心者 - Qiita,"Git, Qiita Zenn note, プログラミング, 情報技術",,,,https://qiita.com/jesus_isao/items/63557eba36819faa4ad9,,
2025/02/26,【webサイトを無料で公開できる】GitHub Pagesの使い方について #HTML - Qiita,"Qiita Zenn note, github, プログラミング, 情報技術",,,,https://qiita.com/koh_ru/items/cdc251f8e3e1d6d94159,,
2025/02/26,Dify 全体像の解説【2025/02/20】｜スムージースタジオ,"Dify, Qiita Zenn note, プログラミング, 情報技術",,,,https://note.com/smoothiestudio/n/n41365393c55b,,
2025/02/26,自分で作ったWebページをインターネット上に公開しよう！ | プログラミングの入門なら基礎から学べるProgate[プロゲート],"github, プログラミング, 情報技術",,,,https://prog-8.com/docs/github-pages,,
2025/02/26,1次元バーコードスキャナーアプリ,"github, プログラミング, 情報技術",,,,https://claude.ai/share/3a08ba3e-7dd6-4c69-9cac-a70267374ba2,,
2025/02/26,Difyで領収書を自動で解析＆勘定科目を仕分けしスプレッドシートにアップするチャットフロー作ってみた｜さるぼぼ | AIコンサル,"Dify, Qiita Zenn note, プログラミング, 情報技術",,,,https://note.com/bobosan_27/n/na3b6864df9f3,,
2025/02/26,ゼロからのプログラミングチャレンジ～flutterアプリをgitHubで公開～｜daliz,"Qiita Zenn note, flutter, github, プログラミング, 情報技術",,,,https://note.com/dandy_rhino5358/n/nab6c3eddc4a6,,
2025/02/26,あとで読みたいウェブサイトを、Notionでブックマークする方法。 – 暮らしとNotion。,"Notion, アプリ, 情報技術",,,,https://kurashi-notion.com/ja/blogs/notion/web-clip#:~:text=%F0%9F%93%B1%20%E3%82%B9%E3%83%9E%E3%83%9B%E3%81%8B%E3%82%89%E8%A8%98%E4%BA%8B%E3%82%92%E4%BF%9D%E5%AD%98%E3%81%99%E3%82%8B%20*%20Notion%E5%85%AC%E5%BC%8F%E3%82%A2%E3%83%97%E3%83%AA%E3%82%92%E3%83%80%E3%82%A6%E3%83%B3%E3%83%AD%E3%83%BC%E3%83%89%20*%20%E4%BF%9D%E5%AD%98%E3%81%97%E3%81%9F%E3%81%84%E3%82%B5%E3%82%A4%E3%83%88%E3%81%A7%E3%80%81%E7%94%BB%E9%9D%A2%E4%B8%8B%E3%81%AE%E5%85%B1%E6%9C%89%E3%83%9C%E3%82%BF%E3%83%B3%E3%82%92%E3%82%BF%E3%83%83%E3%83%97%20*%20Notion%E3%82%92%E9%81%B8%E6%8A%9E%20*%20%E3%82%BF%E3%82%A4%E3%83%88%E3%83%AB%E3%82%92%E7%B7%A8%E9%9B%86%E3%81%97%E3%80%81%E8%BF%BD%E5%8A%A0%E5%85%88%E3%82%92%E9%81%B8%E6%8A%9E%E3%81%97%E3%81%A6%E4%BF%9D%E5%AD%98,,
2025/02/26,最新機能AIコネクター】Notion AIがさらに進化,"Notion, twitterより, youtube動画へのリンク, アプリ, 情報技術",このYouTubeビデオでは、Notion AIの最新機能、AIコネクターに焦点を当てています。 AIコネクターは、Notionだけでなく、SlackやGoogleドライブなど、他の業務アプリ内の情報も検索し、質問に答えることができます。 これにより、組織内の知識をより有効活用し、情報検索やレポート作成にかかる時間を大幅に短縮することが可能になります。 ゲストとしてNotionの日本初の社員である西克氏が登場し、AIコネクターの機能や導入事例を紹介しています。 このツールは、新入社員のオンボーディングから経営幹部の意思決定まで、幅広い業務を効率化する可能性を秘めています。,,,,,
2025/02/26,スパロボ,"ゲーム, スパロボ",,,,,,
2025/02/26,DifyでXのAPIを無料で使う裏技を大公開…！,"Dify, X, アプリ, プログラミング, 情報技術",,,,,,
2025/02/26,M1マックでWindows,情報技術,,,,,,
