タイトル,列1,テキスト,テキスト 1,プロパティ,Column1,Column3,Column4
"シェール・ショーでロボットを演じるマイケル・ジャクソン（1975年）

1人だけ動きが違いすぎる",,,,1,https://x.com/sokuhoulife/status/1895417978306650531,世界バズリズム,https://pbs.twimg.com/profile_images/1475034496865280000/Wc5kWKZg_bigger.jpg
ソロ充を極めすぎた女性,,,,2,https://x.com/twibuznews/status/1895399039405064620,世界最多映像ニュース,https://pbs.twimg.com/profile_images/1619900568075636736/ywuyfiwK_bigger.jpg
"Bedrock Engineer に Diagram Generator を追加しました
AWS のアーキテクチャだけでなく、ソフトウェアアーキテクチャや組織図なんかも描画できます。Claude 3.7 sonnet 推奨。

https://github.com/aws-samples/bedrock-engineer?tab=readme-ov-file#diagram-generator…",,,,3,https://x.com/gee0awa/status/1895146030460817721,Daisuke Awaji,https://pbs.twimg.com/profile_images/1674672352624541698/CU8Xha0F_bigger.jpg
"YouTube×Difyも連携したったわ

これもうYouTubeエージェントやわ

収集からタイトル作成までマジ爆速ww
特に最後新しいタイトル考えてくれるの本当いい
適当にいい感じに【収集→分析→提案】
まで一つのチャットでしてくれる...

これはやばいわww

手順
①適当に書きたいテーマを検索",,,,4,https://x.com/rute1203d/status/1895047941586604368,てる@プロンプトマフィア,https://pbs.twimg.com/profile_images/1856260785733021697/7y8K_1AK_bigger.jpg
"古いカメラ フィルムを
スマホでデジタル写真に変換する方法",,,,5,https://x.com/fuhentetsu/status/1893144540389023780,不変哲,https://pbs.twimg.com/profile_images/1239532320949854215/5sLTmQKE_bigger.jpg
360°回転するこれ、、家にお迎えして大正解やった。すっごい入るから絵本や雑誌のごちゃごちゃ皆無…,,,,6,https://x.com/yunnchan_926/status/1893415365452927398,ゆん,https://pbs.twimg.com/profile_images/1799730651228504064/HNafBbaA_bigger.jpg
"自動で勤怠システムを作るためにはこの流れを覚えておきたい

Googleカレンダーで「勤怠」というカレンダーを作成
↓
iOSのショートカットで職場に着いたらGPSをトリガーとして勤怠カレンダーに「出勤」とする
↓",,,,7,https://x.com/keitaro_aigc/status/1893446208930357287,けいたろう@非エンジニア×生成AI活用｜satto公式エバンジェリスト,https://pbs.twimg.com/profile_images/1873714825672744960/3myaDooa_bigger.jpg
こちらぜひ活用してみてください,,,,8,https://x.com/MacopeninSUTABA/status/1893447087410250200,かずなり | 生成AI×ビジネスハック,https://pbs.twimg.com/profile_images/1871687946988060673/xDsh_ngS_bigger.jpg
自分専用のExcel設定(フィルターや並び替え)を保存『シートビュー』,,,,9,https://x.com/911_takuya/status/1893420522790105358,タクヤ|YouTube登録者15万名突破メンタエクセル|Excelコンサルタント,https://pbs.twimg.com/profile_images/1261494483025162240/W1CPbqgM_bigger.jpg
この1本で「Notion迷子」卒業データベースの全56機能をすべて理解して一気にNotionマスターになれます！長尺なので時間ない方は保存推奨です！動画はリプから,,,,10,https://x.com/RinNotion/status/1893082448550076721,りんのすけ｜Notion最速仕事術,https://pbs.twimg.com/profile_images/1577196396343877632/mxczevkB_bigger.jpg
アロエってすごいんだな…,,,,11,https://x.com/paranormal_2ch/status/1893108655815319676,パラノーマルちゃんねる,https://pbs.twimg.com/profile_images/547406267359059968/MDsEyioY_bigger.jpeg
"イケてるOperator活用事例
指定したURLをnotebookLMにひたすらコピペ↓",,,,12,https://x.com/keitowebai/status/1893144454225371609,KEITOAIディレクター,https://pbs.twimg.com/profile_images/1675439080082128898/-eYNf8PE_bigger.jpg
"ここ最近、Gensparkの画像生成にビビってます

ラフ画を投げて、文字入れ編集も一切無しのチラシが一発出しされるのか…

しかも無料使える

最高峰の画像生成Googleの「Imagen3」も含めて商用利用可能って凄い　↓",,,,13,https://x.com/tetumemo/status/1892203328601514304,テツメモ｜AI図解×検証｜Newsletter,https://pbs.twimg.com/profile_images/1740572915685584896/7nsuwNFv_bigger.jpg
勉強嫌いの娘でも楽しんでやれんのかなこの方法娘からo1プロおねだりされたら即課金するｗ,,,,14,https://x.com/flagline_inc/status/1892503983840801212,池田 昌樹,https://pbs.twimg.com/profile_images/1888045767233081344/VKV3SSyq_bigger.jpg
"市が発行した長文の資料の冊子を読み込む必要があったので、「vFlat Scan」というアプリを使ったら神がかった便利さだった。
・本を開いたまま2Pずつスキャン
→文字起こし、AI補正
→PDF、Wordで出力
で、サクサク文字データ化。",,,,15,https://x.com/excel_niisan/status/1892306948483403987,エクセル兄さん(たてばやし淳)@AI時代のExcel術_書籍多数,https://pbs.twimg.com/profile_images/1020192051374088192/bI1PH6lx_bigger.jpg
"他人の作った画像使いたいけど著作権料払いたくない…
そんな時はChatGPTにパクりたい画像見せて
「この画像っぽいの作りたい！」と言えば画像生成AI向けの指示文を作ってくれる
↓
それをImageFXにコピペするだけで合法的にそっくりな画像が完成！",,,,16,https://x.com/romi_hoshino/status/1891322853267542457,星野ロミ 漫画村で捕まった人,https://pbs.twimg.com/profile_images/1798570807863742464/C_u93j9R_bigger.jpg
